Sprint,TaskTotali,TaskCompletate,TaskCorrettive
Sprint 1,38,38,4
Sprint 2,8,8,1
Sprint 3,23,23,0
Sprint 4,9,9,1
Sprint 5,1,1,0
Sprint 6,0,0,0
Sprint 7,38,38,2
Sprint 8,0,0,0
Sprint 9,12,12,0
Sprint 10,13,13,0
Sprint 11,7,7,0
Sprint 12,11,11,1
Sprint 13,106,106,1
Sprint 14,33,33,2
