Sprint,FE_Totali,FE_Coperti,FE_Mancanti,FE_Pct,BE_Totali,BE_Coperti,BE_Mancanti,BE_Pct,Soglia_Accettabile,Soglia_Ottimo
Sprint 12,0,0,0,0.00,1188,1045,143,87.96,80,95
Sprint 13,0,0,0,0.00,1200,1070,130,89.17,80,95
Sprint 14,615,598,17,94,1220,1114,106,91.31,80,95
